Amazon_ID,Google_ID,Similarity,is_duplicate
b000jz4hqo,http://www.google.com/base/feeds/snippets/18441480711193821750,99,1
b0001bg5gq,http://www.google.com/base/feeds/snippets/11618158047568311763,78,0
b0009i9tqy,http://www.google.com/base/feeds/snippets/8804538687114603592,54,0
b0009i9tqy,http://www.google.com/base/feeds/snippets/11142346570518392535,75,0
b0009i9tqy,http://www.google.com/base/feeds/snippets/12306142837405920435,100,1
b000098xjo,http://www.google.com/base/feeds/snippets/16361312648941715869,87,1
b000i84dsy,http://www.google.com/base/feeds/snippets/17871729840721789776,70,0
b000brgbpa,http://www.google.com/base/feeds/snippets/3011334164286500167,96,1
b000brgbpa,http://www.google.com/base/feeds/snippets/11524039735478682676,96,1
b000brgbpa,http://www.google.com/base/feeds/snippets/18396085441922746096,74,0
b00008mopv,http://www.google.com/base/feeds/snippets/10432571578455910310,62,0
b00008mopv,http://www.google.com/base/feeds/snippets/13893790598310451613,67,0
b00008mopv,http://www.google.com/base/feeds/snippets/16621550764866327052,67,0
b000056b62,http://www.google.com/base/feeds/snippets/18446496383812786183,97,1
b0007d8es0,http://www.google.com/base/feeds/snippets/17832927937923546408,51,0
b0007d8es0,http://www.google.com/base/feeds/snippets/18392141725886908183,80,0
b0007d8es0,http://www.google.com/base/feeds/snippets/18385107380613832555,53,0
b0002w37x8,http://www.google.com/base/feeds/snippets/8804538687114603592,52,0
b0007d8eq2,http://www.google.com/base/feeds/snippets/18392141725886908183,56,0
b0007d8eq2,http://www.google.com/base/feeds/snippets/18385107380613832555,57,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13499020603250895672,69,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13452628916237194338,52,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13524826089365576174,82,1
b000a6jrwq,http://www.google.com/base/feeds/snippets/13080088348166066939,63,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/18394759851238350483,51,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/18392141725886908183,51,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13028831156607660655,69,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/12875383768036370563,62,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/12856316670177951883,77,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/12854675381702524218,63,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/12820881109965138297,72,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13424045945054821066,52,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13439746380265075368,62,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13316611407143053160,66,0
b000a6jrwq,http://www.google.com/base/feeds/snippets/13210697801954573785,81,1
b000a6jrwq,http://www.google.com/base/feeds/snippets/13116286231711674052,59,0
b000b5ue6y,http://www.google.com/base/feeds/snippets/17832927937923546408,53,0
b000b5ue6y,http://www.google.com/base/feeds/snippets/18392141725886908183,64,0
b000b5ue6y,http://www.google.com/base/feeds/snippets/18385107380613832555,52,0
b000b5ue6y,http://www.google.com/base/feeds/snippets/1756203513172973882,52,0
b000b5ue6y,http://www.google.com/base/feeds/snippets/1329140581762289700,53,0
b00006l3us,http://www.google.com/base/feeds/snippets/18369604924108315052,54,0
b0000cc75j,http://www.google.com/base/feeds/snippets/12875383768036370563,55,0
b0000cc75j,http://www.google.com/base/feeds/snippets/13439746380265075368,51,0
b0000cc75j,http://www.google.com/base/feeds/snippets/18353340119584869887,52,0
b0001gjc52,http://www.google.com/base/feeds/snippets/13642535173107321529,92,1
b000icrgwk,http://www.google.com/base/feeds/snippets/3360196621571367222,51,0
b000icrgwk,http://www.google.com/base/feeds/snippets/1887899244694755891,51,0
b000icrgwk,http://www.google.com/base/feeds/snippets/13725607155690879229,79,0
b000icrgwk,http://www.google.com/base/feeds/snippets/10510400604129253122,100,1
b00007lvdn,http://www.google.com/base/feeds/snippets/10376045838568127952,100,1
b000099sie,http://www.google.com/base/feeds/snippets/12471937113581397461,76,0
b0002j6i2s,http://www.google.com/base/feeds/snippets/18441480711193821750,55,0
b0002j6i2s,http://www.google.com/base/feeds/snippets/11142346570518392535,60,0
b0002664gq,http://www.google.com/base/feeds/snippets/11869606589747761538,100,1
b000eqazb4,http://www.google.com/base/feeds/snippets/17530305432950801722,63,0
b0002cu1nw,http://www.google.com/base/feeds/snippets/13725607155690879229,66,0
b0002cu1nw,http://www.google.com/base/feeds/snippets/10510400604129253122,58,0
b000fnevhk,http://www.google.com/base/feeds/snippets/8805781114218671102,51,0
b000fnevhk,http://www.google.com/base/feeds/snippets/15648850844085647958,53,0
b000fnevhk,http://www.google.com/base/feeds/snippets/4522979894661726264,53,0
b000fnevhk,http://www.google.com/base/feeds/snippets/1209717630190599142,51,0
b00008mops,http://www.google.com/base/feeds/snippets/16621550764866327052,54,0
b0007d8esa,http://www.google.com/base/feeds/snippets/18392141725886908183,58,0
b0007d8esa,http://www.google.com/base/feeds/snippets/18385107380613832555,54,0
b0001h9l5m,http://www.google.com/base/feeds/snippets/15812045656958608251,81,1
b0001h9l5m,http://www.google.com/base/feeds/snippets/16905793691117512235,52,0
b0001h9l5m,http://www.google.com/base/feeds/snippets/17723708447447202259,60,0
b0001h9l5m,http://www.google.com/base/feeds/snippets/16457687699485006576,62,0
b000mtebtu,http://www.google.com/base/feeds/snippets/7898902077337932386,79,0
b000mtebtu,http://www.google.com/base/feeds/snippets/12662824890153121005,77,0
b000mtebtu,http://www.google.com/base/feeds/snippets/18349141740073089668,61,0
b000mtebtu,http://www.google.com/base/feeds/snippets/18379664802687261824,62,0
b000bojyc0,http://www.google.com/base/feeds/snippets/8395248988761650431,52,0
b000hcv1ky,http://www.google.com/base/feeds/snippets/16905793691117512235,51,0
b000hcv1ky,http://www.google.com/base/feeds/snippets/15203405883423315352,59,0
b000dinb4g,http://www.google.com/base/feeds/snippets/15812045656958608251,57,0
b000dinb4g,http://www.google.com/base/feeds/snippets/12662824890153121005,54,0
b000dinb4g,http://www.google.com/base/feeds/snippets/18414778073602422524,90,1
b000dinb4g,http://www.google.com/base/feeds/snippets/13769671790180310327,71,0
b0000691kc,http://www.google.com/base/feeds/snippets/3360196621571367222,51,0
b0000691kc,http://www.google.com/base/feeds/snippets/1887899244694755891,51,0
b0000691kc,http://www.google.com/base/feeds/snippets/13725607155690879229,79,0
b0000691kc,http://www.google.com/base/feeds/snippets/10510400604129253122,100,1
b000dn7k8y,http://www.google.com/base/feeds/snippets/15812045656958608251,67,0
b000dn7k8y,http://www.google.com/base/feeds/snippets/17723708447447202259,65,0
b000dn7k8y,http://www.google.com/base/feeds/snippets/16457687699485006576,80,0
b000dn7k8y,http://www.google.com/base/feeds/snippets/18392141725886908183,58,0
b000dn7k8y,http://www.google.com/base/feeds/snippets/18414778073602422524,51,0
b000fis8ew,http://www.google.com/base/feeds/snippets/7898902077337932386,57,0
b000fis8ew,http://www.google.com/base/feeds/snippets/12662824890153121005,55,0
b0007vubx8,http://www.google.com/base/feeds/snippets/8395248988761650431,70,0
b000ixvqk2,http://www.google.com/base/feeds/snippets/2284241765475162173,78,0
b000ixvqk2,http://www.google.com/base/feeds/snippets/15564784742978828373,70,0
b0000vmim2,http://www.google.com/base/feeds/snippets/15283790763832398825,67,0
b000e6mjig,http://www.google.com/base/feeds/snippets/4549566074000049896,85,1
b000ep8oju,http://www.google.com/base/feeds/snippets/17530305432950801722,89,1
b000om8fba,http://www.google.com/base/feeds/snippets/17708766593513600591,56,0
b0002ibeve,http://www.google.com/base/feeds/snippets/3360196621571367222,60,0
b00009apiu,http://www.google.com/base/feeds/snippets/16709273410439592472,84,1
b00009apiu,http://www.google.com/base/feeds/snippets/10241038066142254106,100,1
b00009apiu,http://www.google.com/base/feeds/snippets/15486017920946935068,100,1
b000gcd6lw,http://www.google.com/base/feeds/snippets/3011334164286500167,77,0
b000gcd6lw,http://www.google.com/base/feeds/snippets/11524039735478682676,75,0
